[NPM1]_WT,[NPM1]_Halo,[NPM1]_NFAST,[NPM1]_CFAST,Gamma,GVR
0.0,0.1,0.0,0.9,2.0,0.0
0.0,0.1,0.0,0.9,4.0,0.0
0.0,0.1,0.05,0.85,0.25,0.245
0.0,0.1,0.05,0.85,0.5,0.49
0.0,0.1,0.05,0.85,1.0,0.98
0.0,0.1,0.05,0.85,2.0,1.959
0.0,0.1,0.05,0.85,4.0,3.919
0.0,0.1,0.1,0.8,0.25,0.476
0.0,0.1,0.1,0.8,0.5,0.952
0.0,0.1,0.1,0.8,1.0,1.904
0.0,0.1,0.1,0.8,2.0,3.808
0.0,0.1,0.1,0.8,4.0,7.616
0.0,0.1,0.15,0.75,0.25,0.688
0.0,0.1,0.15,0.75,0.5,1.375
0.0,0.1,0.15,0.75,1.0,2.751
0.0,0.1,0.15,0.75,2.0,5.501
0.0,0.1,0.15,0.75,4.0,11.003
0.0,0.1,0.2,0.7,0.25,0.875
0.0,0.1,0.2,0.7,0.5,1.75
0.0,0.1,0.2,0.7,1.0,3.5
0.0,0.1,0.2,0.7,2.0,7.0
0.0,0.1,0.2,0.7,4.0,14.0
0.0,0.1,0.25,0.65,0.25,1.034
0.0,0.1,0.25,0.65,0.5,2.068
0.0,0.1,0.25,0.65,1.0,4.136
0.0,0.1,0.25,0.65,2.0,8.271
0.0,0.1,0.25,0.65,4.0,16.542
0.0,0.1,0.3,0.6,0.25,1.161
0.0,0.1,0.3,0.6,0.5,2.322
0.0,0.1,0.3,0.6,1.0,4.644
0.0,0.1,0.3,0.6,2.0,9.288
0.0,0.1,0.3,0.6,4.0,18.576
0.0,0.1,0.35,0.55,0.25,1.254
0.0,0.1,0.35,0.55,0.5,2.507
0.0,0.1,0.35,0.55,1.0,5.015
0.0,0.1,0.35,0.55,2.0,10.029
0.0,0.1,0.35,0.55,4.0,20.059
0.0,0.1,0.4,0.5,0.25,1.31
0.0,0.1,0.4,0.5,0.5,2.62
0.0,0.1,0.4,0.5,1.0,5.24
0.0,0.1,0.4,0.5,2.0,10.48
0.0,0.1,0.4,0.5,4.0,20.96
